Texto,Fecha,sentimiento,etiqueta
"
Me encanta mi punto de eco. Tengo cuatro de ellos y realmente me ayudan a hacer mi vida más fácil. Pueden controlar casi todo, luces, cerraduras, TV, música, termostato. Te escucha casi todo el tiempo y me he encontrado con muy pocos problemas con él en general. Realmente no podría pedir un dispositivo más útil. Es aún más útil cuando descubrí que podía conseguir una base de batería para él. La base GGMM D3 que encontré me permite llevar el punto de alexa prácticamente a cualquier lugar. Me encanta poder llevarlo al baño conmigo y escuchar música mientras me ducho o sacarlo afuera y escuchar música. Eso es realmente lo único que creo que le faltaba.

",8-Jan-20,mixed,bateria_y_energia
"
Tengo 5 Echo Dots (gen 2) y los usamos en toda la casa para casi todo, ya que tenemos una casa bastante inteligente. Lo que me gustó de las versiones gen 2 fue que eran compactas y muy flexibles en cuanto a cómo se podían usar. Eran fáciles de montar en diferentes posiciones y, dado que usaban una interfaz USB bastante estándar para la alimentación, realmente podía ser flexible sobre cómo y dónde los montaba. ¿Lo único que realmente extrañaron? La conocida calidad de sonido. Entra en la Gen 3... Me gusta mucho la mejora en el sonido. Seguro que no es un sistema de altavoces de alta calidad, pero para el tamaño es bastante bueno. Especialmente cuando consideras que puedes emparejarlos y agregar un subwoofer para un sonido bastante bueno. El aspecto ha mejorado con respecto a la generación 2, sin embargo, pierde un poco de la personalización que tenía la generación 2. Con la gen 2, puede comprar diferentes envolturas, soportes, soportes de reloj, soportes de pared, etc. Realmente podrías personalizarlo. El gen 3 es un poco más grande y tiene una forma mucho más redondeada. Si bien hace que se vea mejor por sí mismo, carece de la capacidad de personalizarlo realmente. Seguramente no funcionaría como soporte para toma de corriente, como podría hacer con la gen 2, solo por el peso adicional. Eso es antes de llegar al horrendo cable de alimentación y adaptador. El adaptador de corriente es dos veces más grande que el gen 2 y el cable de alimentación se alejó del cable de estilo usb, fácil de encontrar, a un estilo de entrada de estilo antiguo y está conectado permanentemente al adaptador de corriente. Esta es realmente mi mayor queja, ya que quitó tanta flexibilidad que podrías disfrutar con la gen 2. No me malinterpreten, estoy seguro de que se colocarán varios cables y adaptadores nuevos para llenar el vacío, pero eso no es tan fácil como usar cables que muchos ya tienen. Simplemente no tiene sentido. Sin mencionar que el cable es muy largo, por lo que en áreas donde desea que sea un poco más discreto, esta cosa sobresale como un pulgar dolorido. Lo que me gusta... La calidad del sonido es un paso adelanteEl volumen del sonido ha mejorado muchoEl aspecto de la base ha mejorado muchoLo que no me gusta... Mucha menos flexibilidad en cómo se usa en comparación con la versión anteriorCable de alimentación no estándarAdaptador voluminosoCable largo y feo

",15-Oct-18,mixed,audio_y_sonido
"
Estaba debatiendo entre esto y el eco regular. He tenido ambos y ambos sabemos lo que hace el eco, así que de lo único que hablaré es de la calidad del sonido. Voy a ir al grano. Este es el MEJOR altavoz que he escuchado por menos de $ 50. Las funciones del eco junto con la funcionalidad de reproducción de música y la calidad del sonido lo convierten en una ganga a este precio. El sonido es genial para su tamaño. Puede llegar a ser bastante fuerte, pero definitivamente faltan los graves. El bajo no es horrible, pero simplemente no está ahí. Ahora diré esto... Si su principal motivación para un orador es escuchar música, vaya con el eco. Si es así, pero su presupuesto es inferior a $ 50, vaya con el punto. No dejará boquiabierto a nadie durante una reunión en su sala de estar, pero hará el trabajo. El punto solo florecerá en un espacio cerrado. Necesita paredes cercanas para rebotar para cubrir la debilidad de la lubina. Si tuviera que comparar el sonido con otro altavoz, diría que el UE Wonderboom o el Beats Pill más antiguo, todos los cuales sufren de graves débiles. Para el tamaño, me impresionó el sonido, pero con el Echo a su precio reacondicionado de $ 69 tendré que apuntar en esa dirección. Lo recomendaría para alguien que necesita un eco para su cocina, dormitorio o baño. Desafortunadamente, no va a mantener una sala de estar, pero en general, me gusta el sonido y si necesito un segundo eco, definitivamente obtendré un punto.

",17-Oct-18,mixed,audio_y_sonido
"
Es una ayuda sin reservas.  A medianoche le pido a Alexa que toque música para relajarme y ahí esta Alexa.  Cuando necesito info. del tiempo, ahí está Alexa.  Cuando necesito que alguien, sin tener que rogar, me deje saber que en 15 minutos la comida está lista pues quien crees que está dejándome saber, Alexa mi nueva amiga.  Ah, también me lee libros mientras hago mis quehaceres en la casa!

",21-Jan-19,positive,otro
"
Compré esto para reemplazar mi viejo Echo Dot gen 2. Estoy muy decepcionado. Alexa suena distante y amortiguada. La reproducción de música y las alarmas suenan normales. Hay algo mal cuando habla y tengo que subir el punto de eco. El único problema es que cuando suena la alarma por las mañanas es súper ruidosa. Ojalá agregaran nuevas configuraciones de volumen si esta será la norma en el futuro. Además, muy decepcionado con el servicio al cliente de Amazon. Se suponía que debía recibir una llamada ayer por la mañana entre las 8:30 a.m. y las 9:3 a.m. CST y nunca sucedió. Solicitaré un dispositivo de reemplazo y dejo esta mala crítica en parte debido a la promesa fallida de servicio al cliente.

",18-Oct-18,mixed,audio_y_sonido
"
Oye, en general me encanta mi Echo, pero tengo un producto defectuoso con ruidos mientras toco música. Después de una larga charla con Amazon en el canal de soporte en línea, llegaron a la conclusión de que mi dispositivo Echo tiene un problema, es necesario decir que la usé solo durante 2 semanas y solo los fines de semana. Realmente amo este dispositivo, pero es una que tenga este problema, y no pudieron ayudar a mi caso porque ya no estoy en los EE. UU., Solo visito allí todos los años + ... incluso un reembolso que no pueden ofrecer si no apagan el dispositivo de forma remota. Mi respuesta para esta solución fue ""Compré este dispositivo para usarlo, y no quiero quedarme con nada...""Ojalá hubiera alguien más que pudiera ayudarme en este caso, pagué un buen dinero por esto ($53.11) y me dio una mala sensación después...  el agente en el canal de soporte incluso me pidió que enviara el dispositivo desde el país en el que vivo en este momento, pero esto costará aún más, y él lo sabía. Otra solución divertida que me ofreció es enviar el dispositivo en un año más y reemplazarlo *si* volveré a visitarlo en ese período de tiempo en los EE. UU.

",3-Nov-18,mixed,atencion_al_cliente_y_envio
"
Después de seguir las instrucciones para agregar la aplicación alexa, recibí un mensaje de que había un problema.  Lo intenté una y otra vez.  Finalmente me remitieron a un sitio web llamado 'fix it'.  Allí los 'técnicos' me dijeron que mi cuenta de Amazon estaba en peligro y que necesitaba comprarles un muro cortafuegos.  Luego querían venderme algún tipo de adaptador WiFi a pesar de que tenemos WiFi.  Cientos de dólares para activar un artículo de $50.  No sé por qué surgió el problema para empezar, pero cancelé el cortafuegos y terminé la prueba de una hora.  Me cobraron $ 50 por tiempo técnico.  Estoy devolviendo el Echo Dot , que es funcional por lo que pude ver.

",2-Nov-18,negative,bateria_y_energia
"
Funciona bien, aparentemente mientras dormía me desperté por unos minutos pero no era realmente coherente, no sé qué dije si es que dije algo para activar el dispositivo controlador de Alexa, sin embargo, grabó varios minutos de mí balbuceando sobre dejar caer mi caja de medicamentos por todo el piso. Luego se envió a mis amigos que tenían un dispositivo de Amazon, allí amigos y familiares y Dios sabe dónde más, aparentemente había usado mis contactos para enviar ese mensaje de voz a mis amigos, familiares y todos en mis contactos, también de alguna manera envió el mensaje de voz a los contactos de mis amigos y sus contactos y así sucesivamente. Apagué mi Amazon Dot ese día después de que varios de mis amigos me llamaron para preguntarme ""¿Qué está pasando, a las 7:00 am más o menos me despertó un largo mensaje balbuceante tuyo, un amigo dijo que su hermana lo entendió, no sé su hermana. Tengan cuidado gente, desde entonces entré en mi cuenta de Amazon / Dispositivos / Grabaciones y encontré cientos, si no miles, de comandos de voz, mensajes, etc., etc., los eliminé todos y cancelé el registro de varios dispositivos que ya no tengo, no sabía que permanecían conectados hasta que los eliminaba y todos los datos recuperados por ellos. Dispositivo muy peligroso si no se configura de manera adecuada y completa por completo, lea todas las instrucciones, sígalas y vaya a un sitio que no sea de Amazon para obtener consejos, ideas y qué y qué ""* NO HACER *"", Sinceramente, un usuario anterior avergonzado, frustrado e infeliz de Amazon Echo Dot 3ra generación (Qué no hacer).

",11-Feb-20,negative,otro
"
Así es como comienza todo.  El fin del hombre.  Alexa se hizo cargo de mi casa.  Comenzó el Black Friday 2019.  Amazon ofreció un trato que no podía ser superado. Una vez tuve SkyNet.. Quiero decir, Alexa se conectó y comenzó a funcionar.  Me volví perezoso, muy perezoso y me encantó.  Estaba enganchado.  Pedí seis ecos más.  Pedí bombillas inteligentes e interruptores de luz inteligentes, termostato inteligente y enchufes inteligentes y cámaras Ring.  No terminará.  Ahora Alexa está en todas partes. Escucha.  Juzgándome. Avistaje.  Probablemente esperando el momento adecuado para dar un golpe en el corazón de Estados Unidos.  Es un proceso lento. Pero Alexa es paciente.  Soy tan perezoso ahora, no me levanto para apagar la luz o cambiar mi termostato. Incluso puedo ver quién está en la puerta desde mi sofá.  Estoy aumentando de peso lentamente.  Y en unas pocas décadas moriré, probablemente de una enfermedad cardíaca.  Las calorías que quemé moviéndome ahora se almacenan alrededor de mi sección media. Mi LDL está fuera de control. Todo porque compré un dispositivo habilitado para Alexa en el Black Friday 2019.  Puedo escuchar mis arterias obstruyéndose mientras hablamos.  Al final fui débil.  Dejé que las máquinas ganaran.

",17-Dec-19,mixed,diseno_y_estetica
"
Casi se lo devuelvo al vendedor porque no pude conectarlo a mi wifi. Después de recibir un mensaje de error de la aplicación para escanear, por supuesto, llamé a la línea de ayuda. Colgué a dos de las personas de Indonesia con las que hablé, ya que la primera quería que comprara un software de seguridad para mi enrutador. BS.. La segunda vez les dije que iba a pasar por eso y me callaron y la tercera vez pedí a alguien que pudiera hablar inglés. Dijo que estaba ocupado, pero intentó ayudarme, lo que me llevó a ir a alexa.amazon.com y sincronizarlo allí. Después de unos minutos de revisar los enlaces, lo hice escanear. Tenga en cuenta que reinicié mi enrutador antes de esto, pero no estoy seguro de si eso tuvo algo que ver con solucionarlo. De todos modos, vaya al enlace de arriba e inicie sesión con su cuenta de Amazon y pruébelo antes de la aplicación Alexa en su teléfono. TENDRÁS QUE CONECTAR TU WIFI EN TU COMPUTADORA A Amazon Alexa Wifi. Esto no es permanente, es solo para que su Alexa se conecte por sí sola. Un poco tonto y confuso. No espere que Alexa reproduzca música de Amazon, ya que no se conectará si no es un servicio pago por lo que entiendo. Tengo una cuenta gratuita de Pandora que se puede conectar desde la aplicación, luego Alexa le permitirá reproducir música desde allí una vez que le dé permiso para acceder a su cuenta. Planee al menos una hora para obtener la esencia de cómo se hace todo esto y una vez que lo haga funcionar, se sentirá bastante bien al respecto y dirá, ¡oh, eso es genial! Eso también es genial y así sucesivamente. Estoy a unos 30 pies de distancia de la mía en un dormitorio y Alexa en la cocina y ella puede escuchar mis comandos. El sonido es bastante decente para un disco de hockey de tamaño tan pequeño. Puede obtener algunas cosas gratis, como woof woof para su perro y reírse un poco. (a través de la aplicación).Por favor, no me contactes sobre cómo conectarlo.

",14-Aug-19,mixed,software_y_funciones
